,Classes,vitamin_a_per_serving_mcg,vitamin_d_per_serving_mcg,vitamin_e_per_serving_mg,vitamin_c_per_serving_mg,thiamin_per_serving_mg,riboflavin_per_serving_mg,niacin_per_serving_mg,vitamin_b6_per_serving_mg,vitamin_b12_per_serving_mcg,folic_acid_per_serving_mcg,calcium_per_serving_mg,iron_per_serving_mg,protein_per_serving_g,zinc_per_serving_mg
71,paella,1860.0927268799999,4.2807745,3.2577669933333335,90.16712876,0.5762148053333334,0.9569961333333333,5.595694272,0.8266126550666666,2.1878430266666666,6.703326666666666,461.59110359999994,12.592009229333334,50.60083707599999,6.487623858666666
72,pancakes,141.56565102000002,2.17365225,2.8318274320000003,1.5731760000000001,0.14545846699999998,1.4835219044,4.818489077199999,0.9087253538,2.186713882,0.0,1688.7112635999997,9.151676944,16.05773761,2.964156186
73,panna_cotta,19.025618333333327,0.03943133333333333,0.02825912222222222,0.0,0.002957349999999999,0.04104858666666666,0.02031380333333333,0.010186427777777778,0.10777897777777774,0.0,104.77590888888886,0.15128677777777777,3.488605688888889,0.5698494333333333
74,peking_duck,145.2289695,17.90625,10.239652900000001,2.83,0.822356451,0.399684213,16.240117444,0.5833819849999999,0.0,23.067330000000002,222.796976,10.11772972,45.909978239999994,7.96963527
75,pho,1837.3114919999998,0.12,0.7313279249999999,80.96275499999999,1.1654592475,0.6358022725,5.7992218475,0.5028857874999999,0.43699999999999994,2.05,216.017195,9.04198675,47.39373382499999,4.9934391
76,pizza,316.15551876,0.5323230000000001,5.152703632,0.14293876,0.0660968604,0.7257341216,1.39449068,0.3306318008,1.537822,0.0,588.5621644,2.67739036,26.527438800000002,3.3856744279999993
77,pork_chop,176.48612952,0.0,1.055077872,1.75125928,0.3650840286,0.5102850956000001,6.346979548399999,0.2948495194,2.6213435819999997,0.0,290.9628886,4.807072932,30.301913936,4.5365186920000005
78,poutine,0.0,0.0,0.735,1.2,0.09,0.036000000000000004,2.03775,0.165,0.0,0.0,10.500000000000002,0.54,2.5574999999999997,0.345
79,prime_rib,24.992607899999996,-0.0283495,-0.40184796,0.0,-0.245888825,-0.3241953819999999,-4.923322525999999,-0.243694799,-1.08233641,-13.607759999999999,-61.481692,-2.99296786,-17.171054650000002,-2.5708075700000004
80,pulled_pork_sandwich,632.5617963149999,0.09072317875,2.6467716585000005,3.0781089699999997,0.8156141540499999,0.4452552418499999,6.234837122799998,0.6877630792499999,2.4813845162499995,0.0,69.97470055,2.96903393825,20.095408429750005,3.9772254577499995
81,ramen,926.030755146,0.32235115,1.6722964340499997,17.836813206499997,0.37288821602,0.369488704555,3.2058541430850007,0.35003694325,0.77677345,0.0,69.916256545,3.5933463571499997,12.745847024400002,1.5587271961
82,ravioli,3493.6027034999997,2.8350725000000003,2.07358544,22.0322575,0.22056332299999998,1.42911623,1.783600415,0.35815402949999997,2.30077072,0.0,1660.10366,8.7235092,68.57655912,7.752588595000001
83,red_velvet_cake,18.372854666666665,0.3110112777777778,3.815976666666667,0.0,0.18275964866666664,0.12136853633333332,4.5523883466666675,0.12070458666666666,0.1758351333333333,0.0,108.37418239999998,2.013159949555556,14.761359864444444,2.412377681777778
84,risotto,687.8006968,0.18729883333333333,0.9155156333333334,38.293994,0.503814184,0.45820884666666667,3.5909347953333333,0.5728314573333333,0.8369381399999999,1.2750000000000001,548.5325926666666,2.544962033333333,28.056598386666664,2.7441779066666667
85,samosa,84.44755199999999,0.0295736,0.35860048,26.983844800000004,0.10212004,0.23136230899999996,1.614974762,0.25110919499999995,0.06949795999999998,0.0,196.302817,6.549275819999999,6.899698879999999,0.8589547599999999
86,sashimi,12443.335517000001,1.4670866249999999,1.9522183138333333,404.92775537999995,0.7245490795833334,1.1169393918166666,21.984140731066667,2.2368495024333335,1.7690087999999997,0.0,576.9738121833334,14.409077060833335,41.06149702916666,3.851731705166667
87,scallops,1572.5446845959998,0.23449787,12.442485342999998,46.718490302000006,0.19131058111999996,0.39363779220000006,3.2339830298199996,0.46679891842000004,0.86895382,0.0,135.61446278,3.0541512438,19.2508593816,2.5916927380000003
88,seaweed_salad,897.4600380299999,0.4029403,0.4706204339999999,2.1287330675,0.091206195,0.099183900425,0.9583037159,0.141956418625,0.1441713,1.0104285999999998,87.767958825,1.53010012875,4.162049284375,0.75759032225
89,shrimp_and_grits,405.69757979999997,0.501301,2.95411043,10.9818865,0.451632292,0.763640761,3.9334440555,0.375513157,1.72992668,0.8500000000000001,612.342316,3.729757555,48.133967989999995,4.550118285
90,spaghetti_bolognese,4449.32523124,5.443104000000001,10.791209489333331,107.70930666666665,0.5911858412,1.8018384686666666,10.476169651866666,1.237249845733333,2.174256,148.48394666666667,773.1551351999999,31.386300777333336,77.329331696,6.238367882666667
91,spaghetti_carbonara,297.24445598999995,0.2907106875,0.9950525299999999,0.056682579999999996,0.1300727685,0.8470999668,0.6445818193,0.2490386085,1.1845667999999998,0.0,1025.7551640000001,1.494919196,27.497848769,2.6490777229999996
92,spring_rolls,422.25300224,0.0,0.486210232,23.473349333333335,0.09599832586666668,0.13292006846666665,0.5774061851333334,0.07398213593333333,0.00016429733333333334,0.0,95.69259206666666,0.828366854,3.5625705586666667,0.6479514026666666
93,steak,804.1665355799998,2.2691047500000003,1.0656964150000001,15.990130200000001,0.9389704708999999,0.9629806996999999,13.924888020499997,1.0471795657999998,2.86048378,2.7287927,111.45548959999999,5.089038809,47.11090480600001,6.228303987000002
94,strawberry_shortcake,9.1864056,0.0,0.0453592,6.214210399999999,0.08306155411999999,0.10706236739999998,0.7868089509999999,0.017364647919999997,0.04989512,32.205032,80.43723012000001,0.7506027504000001,2.2708965352,0.17744306119999997
95,sushi,168.39603,2.1262125000000003,1.0262518999999999,0.0,0.05896696,0.259397925,0.024664065,0.14004652999999997,0.7540967,0.0,52.446575,1.2700576,8.04275315,1.0177470499999999
96,tacos,226.252266,0.0,1.6217012,0.3,0.2433368,0.3053506,3.4019592999999997,0.1642475,1.315377,0.0,149.29953999999998,3.3800711999999997,16.066446199999998,2.5280406
97,takoyaki,13.515599999999997,0.0,0.012050000000000002,0.7075000000000001,0.012969999999999999,0.006990000000000001,0.30423,0.0121,0.008,0.0,4.840999999999999,0.22897,1.07764,0.16273000000000004
98,tiramisu,112.7334714,0.5667695000000001,0.6547395333333335,1.6895346666666669,0.185616516,0.3704765406666667,1.5936284779999998,0.10095134866666666,1.2502682666666667,9.583333333333334,363.1973239999999,2.123955753333333,17.26774976,1.9395453999999996
99,tuna_tartare,6.151300717499999,0.011192755833333332,0.04499633199999999,0.30628985,0.05137332443333334,0.03204674580833333,0.8996035342541665,0.03924108275833334,0.09153982674999998,2.875,35.2770090875,0.7156867696249999,2.320661606416667,0.33349035016666667
100,waffles,21.411,0.4073125,0.0375,0.275,0.20203000000000002,0.15083,4.90821,0.13666,0.40897500000000003,0.0,99.9725,2.1871500000000004,15.068275,2.588975
