,ing_name,serving_size,vitamin_a,vitamin_d,vitamin_e,vitamin_c,thiamin,riboflavin,niacin,vitamin_b6,vitamin_b12,folic_acid,calcium,irom,protein,zink
552,parsnips,100 g,0.00 IU,0.00 IU,1.49 mg,17.0 mg,0.090 mg,0.050 mg,0.700 mg,0.090 mg,0.00 mcg,0.00 mcg,36.00 mg,0.59 mg,1.20 g,0.59 mg
158,salt,100 g,2499.00 IU,0.00 IU,2.32 mg,0.0 mg,0.005 mg,0.034 mg,0.042 mg,0.003 mg,0.17 mcg,0.00 mcg,24.00 mg,0.02 mg,0.85 g,0.09 mg
650,beets,100 g,33.00 IU,0.00 IU,0.04 mg,4.9 mg,0.031 mg,0.040 mg,0.334 mg,0.067 mg,0.00 mcg,0.00 mcg,16.00 mg,0.80 mg,1.61 g,0.35 mg
194,celery,100 g,1962.00 IU,0.00 IU,5.55 mg,86.5 mg,0.440 mg,0.500 mg,4.640 mg,0.460 mg,0.00 mcg,0.00 mcg,587.00 mg,7.83 mg,11.30 g,2.77 mg
40,red onion,100 g,0.00 IU,0,0,7.0 mg,0.200 mg,0.400 mg,3.700 mg,0.100 mg,0.70 mcg,17.00 mcg,280.00 mg,1.00 mg,9.00 g,0.88 mg
1814,eggs,100 g,410.00 IU,72.00 IU,0.84 mg,0.0 mg,0.010 mg,0.300 mg,0.090 mg,0.010 mg,0.17 mcg,0.00 mcg,17.00 mg,0.23 mg,13.10 g,0.14 mg
152,dill pickle,100 g,1218.00 IU,0.00 IU,0.58 mg,1.0 mg,0.000 mg,0.033 mg,0.233 mg,0.015 mg,0.00 mcg,0.00 mcg,3.00 mg,0.87 mg,0.37 g,0.14 mg
220,celery seed,100 g,52.00 IU,0.00 IU,1.07 mg,17.1 mg,0.340 mg,0.290 mg,3.060 mg,0.890 mg,0.00 mcg,0.00 mcg,1767.00 mg,44.90 mg,18.07 g,6.93 mg
110,black pepper,100 g,547.00 IU,0.00 IU,1.04 mg,0.0 mg,0.108 mg,0.180 mg,1.143 mg,0.291 mg,0.00 mcg,0.00 mcg,443.00 mg,9.71 mg,10.39 g,1.19 mg
343,red wine vinegar,100 g,0.00 IU,0,0,0.5 mg,0,0,0,0,0,0,6.00 mg,0.45 mg,0.04 g,0.03 mg
31,salad oil,100 g,2850.00 IU,0,0,15.7 mg,0.045 mg,0.038 mg,0.208 mg,0,0.00 mcg,0,24.00 mg,0.65 mg,1.03 g,0
721,active dry yeast,100 g,0.00 IU,0.00 IU,0,0.0 mg,0.101 mg,0.026 mg,0.875 mg,0.050 mg,0.00 mcg,0.00 mcg,23.00 mg,1.32 mg,11.35 g,0.45 mg
